number_of_experiments;time
10000;21.255148887634277
1000;73.11915016174316
300000;1880.3503823280334
300000;3672.141698360443
600000;4335.95599770546
600000;11318.751346111298
30000;207.0171308517456
600000;6656.37327671051
20000;207.38672041893005
2000;11.017806053161621
2000;17.245195865631104
2000;28.446318864822388
2000;28.068368673324585
3000;57.12971043586731
30000;874.5530438423157
300000;3264.9133863449097
150000;1825.5017969608307
30000;376.78647112846375
1000000;10071.314287424088
3000;188.99650263786316
300000;5070.898411273956
300000;3206.465644598007
3000;124.47481083869934
2000;18.17098331451416
2000;17.554816722869873
2000;19.383769273757935
2000;99.06518530845642
2000;20.273115873336792
2000;17.781712532043457
2000;23.014376640319824
2000;22.214364528656006
2000;23.336301565170288
